"project_id","donor","title","year","year_uncertain","description","sector","sector_comment","crs_sector","status","status_code","flow","all_recipients","sources","sources_count","funding_agency","implementing_agency","donor_agency","donor_agency_count","recipient_agencies","recipient_agencies_count","verified","verified_code","flow_class","flow_class_code","intent","intent_code","active","active_code","factiva_sources","amount","currency","deflators_used","exchange_rates_used","usd_defl","start_actual","start_planned","end_actual","end_planned","recipient_count","recipient_condensed","recipient_cow_code","recipient_oecd_code","recipient_oecd_name","recipient_iso3","recipient_iso2","recipient_un_code","recipient_imf_code","is_commercial","is_commercital","debt_uncertian","line_of_credit","is_cofinanced","loan_type","interest_rate","maturity","grace_period","grant_element"
"17771","China","China provides radio-jamming device to Zimbabwe","2005","false","In 2005, China provided a radio-jamming device for Zimbabwe. The device went to a military base outside of the capital of Harare; reports said that the installation provided the authoritarian leader Mugabe to control the airwaves around the election campaigns in the country. As a 'thank you,' Zimbabwe invested support in China's claim over Taiwan. Information on specific amounts, dates, contacts, and organizations are yet to be found. ","Military","government/military","150","Completion","3","In-kind contribution","Tied","4","Zimbabwe","http://global.factiva.com/aa/?ref=CHSM000020050329e13u00003&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Representational","","Active","1","http://global.factiva.com/aa/?ref=CHSM000020050329e13u00003&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","","","","","1","Zimbabwe","552","265","Zimbabwe","ZWE","ZW","716","698","Not Commercial","2","false","false","false","","","","",""
"18190","China","Chinese-Zimbabwean agreement to build Air Force warehouse","2005","false","On July 25, 2005, the Zimbabwe Defense Forces signed an agreement with an unnamed Chinese group for the construction of a bonded warehouse for the Air Force of Zimbabwe.","Military","","150","Pipeline: Commitment","11","In-kind contribution","Unset","","Zimbabwe","http://global.factiva.com.proxy.wm.edu/aa/?ref=AFNWS00020050727e17r0018i&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , Recipient media or official","1","","Zimbabwean Air Force, Government Agency","","","Zimbabwe Defence Forces (ZDF), Government Agency; Zimbabwean Air Force, Government Agency","2","Checked","1","Military","4","Representational","","Active","1","http://global.factiva.com.proxy.wm.edu/aa/?ref=AFNWS00020050727e17r0018i&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , Recipient media or official","","","","","","","","","","1","Zimbabwe","552","265","Zimbabwe","ZWE","ZW","716","698","Not Commercial","2","false","false","false","","","","",""
"25620","China","Military Cooperation Grant","2009","false","In 2009, the Chinese government stated that they will provide a grant of 3 million USD to the Malawian Armed Forces. The projects to be financed with this grant or a disbursement have yet to be found.","Military","","150","Pipeline: Commitment","11","Grant (excluding debt forgiveness)","Unset","","Malawi","http://mw.china-embassy.org/eng/dsxx/dsjh/t621077.htm 
      , Google US
      , Donor media or official","1","","","","","","","Checked","1","Military","4","Representational","","Active","1","http://mw.china-embassy.org/eng/dsxx/dsjh/t621077.htm 
        , Factiva
        , Donor media or official","3000000.0","USD","1.0","1.0","3000000.0","","","","","1","Malawi","553","253","Malawi","MWI","MW","454","676","Not Commercial","2","false","false","false","","","","",""
"286","China","Joint military drills","2009","false","From June 21-28, 2009 'Angel of Peace 2009,' a joint Gabonese-Chinese medical-military exercise took place in Ogooue Ivindo province. Joint military drills with the Chinese PLA, Mongolia, Singapore and Gabon were held for the first time in the history of China's international military exchanges with them. A financial amount, as well as contacts for this project are unknown. Angel of Peace 2009 included a medical rescue training exercise, #532 and the donation of equipment to the Gabonese military, #23566. ","Military","","150","Completion","3","Scholarships/training in the donor country","Unset","","Gabon","http://global.factiva.com/aa/?ref=CHNDLY0020090805e5860000x&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , Donor media or official","1","","Chinese People, Government Agency","Chinese People, Government Agency","1","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=CHNDLY0020090805e5860000x&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , Donor media or official","","","","","","21 June 2009","","28 June 2009","","1","Gabon","481","239","Gabon","GAB","GA","266","646","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"326","China","Military cooperation accord","2000","false","On June 24, 2000, China and the Republic of the Congo signed a military cooperation accord to reorganize the Congolese army. The accord followed an official visit by Congolese President Denis Sassou Nguesso to China in April. The start and end dates of this project are  yet unknown.","Military","","150","Pipeline/identification","1","In-kind contribution","Unset","","Congo, Rep.","http://global.factiva.com/aa/?ref=afpr000020010803dw6o02hkc&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=afpr000020010803dw6o02hkc&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","","","","","1","Congo, Rep.","484","234","Congo, Rep.","COG","CG","178","634","Not Commercial","2","false","false","false","","","","",""
"444","China","10 Military Vehicles","2007","false","On November 7, 2007, the Chinese government donated ten military vehicles to the DRC's armed forces. Ambassador Wu Zexian spoke at the handing over ceremony, with Defense Minister Chikez Diemu officially receiving them.","Military","","150","Completion","3","In-kind contribution","Unset","","Congo, Dem. Rep.","http://global.factiva.com/aa/?ref=XNEWS00020071107e3b7006em&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , Donor media or official","1","","","","","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=XNEWS00020071107e3b7006em&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , Donor media or official","","","","","","07 November 2007","","07 November 2007","","1","Congo, Dem. Rep.","490","235","Congo, Dem. Rep.","COD","CD","180","636","Not Commercial","2","false","false","false","","","","",""
"647","China","Vague: Military assistance","2002","false","In 2002, Ethiopia received military assistance from China.","Military","","150","Implementation","2","Free-standing technical assistance","Unset","","Ethiopia","http://global.factiva.com/aa/?ref=afnws00020021201dyc1000me&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","","","","","","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=afnws00020021201dyc1000me&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","","","","","","","","","","1","Ethiopia","530","238","Ethiopia","ETH","ET","231","644","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
"883","China","Military Infrastructure","2004","false","In September of 2004, China pledged US$6.8 million to Guinea-Bissau to reconstruct the regional hospital in Canchungo as well as reestablish military infrastructure. The hospital project reportedly cost US$3.5 million (ID#882), leaving US$3.3 million for the military infrastructure projects.  ","Military","","150","Pipeline/identification","1","Grant (excluding debt forgiveness)","Unset","","Guinea-Bissau","http://global.factiva.com/aa/?ref=BBCAP00020040910e09a003s5&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , International media report","1","","Ministry for Foreign Affairs and International Cooperation, Government Agency","","","Ministry for Foreign Affairs and International Cooperation, Government Agency","1","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=BBCAP00020040910e09a003s5&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , International media report","3300000.0","USD","0.66362944683753","1.0","4972654.57","","","","","1","Guinea-Bissau","404","244","Guinea-Bissau","GNB","GW","624","654","Not Commercial","2","false","false","false","","","","",""
"918","China","Donation of military equipment","2006","false","On September 14, 2006, China donated military equipment to Madagascar's Ministry of Defense headquarters in Ampahibe. The donation was mainly fabric to make military wear and equipment for use by the Malagasy army, including 23 km of jungle green military fabric, 300 army rangers boots, and a 20-watt radio. The donation was received by the minister of national defense.","Military","","150","Completion","3","In-kind contribution","Unset","","Madagascar","http://global.factiva.com/aa/?ref=BBCAP00020060914e29e001ba&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , Recipient media or official","1","","Ministry of Defense, Government Agency","","","Ministry of Defense, Government Agency","1","Checked","1","Military","4","Representational","","Active","1","http://global.factiva.com/aa/?ref=BBCAP00020060914e29e001ba&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , Recipient media or official","","","","","","14 September 2006","","14 September 2006","","1","Madagascar","580","252","Madagascar","MDG","MG","450","674","Not Commercial","2","false","false","false","","","","",""
"1203","China","China Supports Mozambican Armed Forces","2008","false","On December 9, 2008 the Chinese government pledged to disburse 1.5 million US dollars in 2009 to support the Mozambican Armed Forces (FADM). To that end, the Mozambican Defense Minister, Filipe Nyussi, signed a cooperation agreement in Maputo on Monday with Chinese Ambassador Tian Gueng Feng to formalize the grant. Searches on this project did not pull up any further information on the project. However, searching did indicate that China routinely donates to the the FADM, including projects #754, #940, #1189, #1191, #1203, #1214, #1224, #1245","Military","","150","Pipeline/identification","1","Grant (excluding debt forgiveness)","Unset","","Mozambique","http://global.factiva.com/aa/?ref=AFNWS00020081209e4c90018k&pp=1&fcpil=en&napc=S&sa_from= 
      , Factiva
      , Recipient media or official","1","","","","","Mozambican Armed Forces (FADM), Government Agency","1","Checked","1","Military","4","Unset","","Active","1","http://global.factiva.com/aa/?ref=AFNWS00020081209e4c90018k&pp=1&fcpil=en&napc=S&sa_from= 
        , Factiva
        , Recipient media or official","1500000.0","USD","0.98899595221395","1.0","1516689.73","","","","","1","Mozambique","541","259","Mozambique","MOZ","MZ","508","688","Not Commercial","2","false","false","false","Unset","Unset","Unset","Unset","Unset"
